report_id,fire_id,area,date,longitude,latitude,from_date,crews_sent,total_crews_sent,max_crews_sent
2714023,2714022,150.0,2015-05-06 10:15:00,-71.2519444,43.7811111,2015-05-05 09:30:00,45.0,123.0,45.0
2714037,2714022,275.0,2015-05-08 00:30:00,-71.2519444,43.7811111,2015-05-07 11:00:00,45.0,123.0,45.0
2714050,2714022,275.0,2015-05-09 00:30:00,-71.2519444,43.7811111,2015-05-08 11:00:00,33.0,123.0,45.0
2714066,2714022,275.0,2015-05-10 13:00:00,-71.2519444,43.7811111,2015-05-09 15:00:00,0.0,123.0,45.0
2714082,2714081,205.0,2015-05-07 07:15:00,-67.0125,44.7916667,2015-05-06 20:30:00,21.0,37.0,21.0
2714097,2714081,205.0,2015-05-08 04:07:30,-67.0125,44.7916667,2015-05-07 18:15:00,15.0,37.0,21.0
2714111,2714081,206.0,2015-05-09 19:30:00,-67.0125,44.7916667,2015-05-09 05:00:00,1.0,37.0,21.0
2714133,2714132,1.5,2015-05-06 16:22:30,-80.01,34.975,2015-05-06 12:15:00,34.0,34.0,34.0
2714195,2714194,2.0,2015-05-09 11:00:00,-92.4983333,46.3094444,2015-05-04 13:00:00,9.0,9.0,9.0
2714216,2714215,6.0,2015-05-01 01:00:00,-89.88,31.9122222,2015-04-30 15:00:00,8.0,16.0,8.0
2714229,2714215,6.0,2015-05-01 01:30:00,-89.88,31.9122222,2015-04-30 15:15:00,8.0,16.0,8.0
2714245,2714244,3.0,2015-05-01 02:42:30,-95.4886111,47.3872222,2015-04-30 14:25:00,18.0,18.0,18.0
2714295,2714294,2.0,2015-05-05 17:52:30,-81.5133333,28.9669444,2015-05-05 16:45:00,2.0,4.0,2.0
2714306,2714294,2.0,2015-05-07 13:00:00,-81.5133333,28.9669444,2015-05-07 08:00:00,2.0,4.0,2.0
2714325,2714324,350.0,2015-05-17 21:00:00,-85.9186111,30.3019444,2015-05-17 12:00:00,9.0,18.0,9.0
2714356,2714324,350.0,2015-05-20 13:30:00,-85.9186111,30.3019444,2015-05-20 08:00:00,1.0,18.0,9.0
